CIN;NUMERO_ELECTEUR;NOM;PRENOM;DATE_NAISSANCE;LIEU_NAISSANCE;SEXE;BUREAU_VOTE
1234567890123;AB12345678;Diop;Mamadou;1980-05-15;Dakar;M;BV001
1234567890124;AB12345679;Ndiaye;Fatou;1985-07-22;Saint-Louis;F;BV002
123456789012;CD12345678;Kane;Abdoulaye;1978-11-30;Thiès;M;BV003
1234567890126;CD12345678;Fall;Marième;1990-02-18;Kaolack;F;BV004
1234567890127;EF12345678;Sow;Boubacar;1982-09-05;Ziguinchor;G;BV005
1234567890128;EF12345679;Gueye;Aïssatou;1975-04-12;Louga;;BV006
1234567890129;GH12345678;Dia;Moussa;1988-08-27;Matam;M;
12345678901234;IJ12345678;Sarr;Aminata;1995-01-08;Diourbel;F;BV008
1234567890131;IJ1234567;Mbaye;Ousmane;1970-12-20;Rufisque;M;BV009
1234567890132;KL12345678;;Rama;1993-06-17;Tambacounda;F;BV010
1234567890133;MN12345678;Thiam;;1985-10-25;Sédhiou;M;BV011
1234567890134;OP12345678;Diallo;Amadou;abc;Kolda;M;BV012
1234567890123;QR12345678;Seck;Fatimata;1989-03-14;Kédougou;F;BV013
1234567890136;ST12345678;Ndao;Ibrahima;1979-07-30;Pikine;M;BV014
1234567890137;UV12345678;Ba;Awa;1992-05-11;;F;BV015
1234567890138;WX12345679;Niang;Modou;1975-08-19;Thiès;M;BV016
ABCDEFGHIJKLM;YZ12345678;Dieng;Sokhna;1987-11-23;Dakar;F;BV017
1234567890140;AA123456789;Faye;Cheikh;1980-01-15;Touba;M;BV018
1234567890141;BB12345678;Lo;Mariama;1993-09-05;Mbour;F;BV019
1234567890142;CC12345678;Samb;Abdou;1976-12-18;Tivaouane;M;BV020
